case_id,family,variant,scope,method,label,prediction,calls,witnesses
record_update__sequence_trigger__r003,record_update,sequence_trigger,sequence_trigger,document_trust,True,False,0,
record_update__sequence_trigger__r003,record_update,sequence_trigger,sequence_trigger,nominal_repeat,True,False,10,
record_update__sequence_trigger__r003,record_update,sequence_trigger,sequence_trigger,random_relational_fuzzing,True,False,10,
record_update__sequence_trigger__r003,record_update,sequence_trigger,sequence_trigger,cep,True,False,10,
record_update__sequence_trigger__r004,record_update,sequence_trigger,sequence_trigger,document_trust,True,False,0,
record_update__sequence_trigger__r004,record_update,sequence_trigger,sequence_trigger,nominal_repeat,True,False,10,
record_update__sequence_trigger__r004,record_update,sequence_trigger,sequence_trigger,random_relational_fuzzing,True,False,10,
record_update__sequence_trigger__r004,record_update,sequence_trigger,sequence_trigger,cep,True,False,10,
record_update__unobservable_effect__r000,record_update,unobservable_effect,unobservable_effect,document_trust,True,False,0,
record_update__unobservable_effect__r000,record_update,unobservable_effect,unobservable_effect,nominal_repeat,True,False,10,
record_update__unobservable_effect__r000,record_update,unobservable_effect,unobservable_effect,random_relational_fuzzing,True,False,10,
record_update__unobservable_effect__r000,record_update,unobservable_effect,unobservable_effect,cep,True,False,10,
record_update__unobservable_effect__r001,record_update,unobservable_effect,unobservable_effect,document_trust,True,False,0,
record_update__unobservable_effect__r001,record_update,unobservable_effect,unobservable_effect,nominal_repeat,True,False,10,
record_update__unobservable_effect__r001,record_update,unobservable_effect,unobservable_effect,random_relational_fuzzing,True,False,10,
record_update__unobservable_effect__r001,record_update,unobservable_effect,unobservable_effect,cep,True,False,10,
record_update__unobservable_effect__r002,record_update,unobservable_effect,unobservable_effect,document_trust,True,False,0,
record_update__unobservable_effect__r002,record_update,unobservable_effect,unobservable_effect,nominal_repeat,True,False,10,
record_update__unobservable_effect__r002,record_update,unobservable_effect,unobservable_effect,random_relational_fuzzing,True,False,10,
record_update__unobservable_effect__r002,record_update,unobservable_effect,unobservable_effect,cep,True,False,10,
record_update__unobservable_effect__r003,record_update,unobservable_effect,unobservable_effect,document_trust,True,False,0,
record_update__unobservable_effect__r003,record_update,unobservable_effect,unobservable_effect,nominal_repeat,True,False,10,
record_update__unobservable_effect__r003,record_update,unobservable_effect,unobservable_effect,random_relational_fuzzing,True,False,10,
record_update__unobservable_effect__r003,record_update,unobservable_effect,unobservable_effect,cep,True,False,10,
record_update__unobservable_effect__r004,record_update,unobservable_effect,unobservable_effect,document_trust,True,False,0,
record_update__unobservable_effect__r004,record_update,unobservable_effect,unobservable_effect,nominal_repeat,True,False,10,
record_update__unobservable_effect__r004,record_update,unobservable_effect,unobservable_effect,random_relational_fuzzing,True,False,10,
record_update__unobservable_effect__r004,record_update,unobservable_effect,unobservable_effect,cep,True,False,10,
file_write__clean__r000,file_write,clean,clean,document_trust,False,False,0,
file_write__clean__r000,file_write,clean,clean,nominal_repeat,False,False,10,
file_write__clean__r000,file_write,clean,clean,random_relational_fuzzing,False,False,10,
file_write__clean__r000,file_write,clean,clean,cep,False,False,10,
file_write__clean__r001,file_write,clean,clean,document_trust,False,False,0,
file_write__clean__r001,file_write,clean,clean,nominal_repeat,False,False,10,
